Date: 05/07/2021

17:00:39 - mote: (00-17-0d-00-00-32-dc-61), sampled: [51537, 55537, 9999, 9999, 14544, 9999, 9999, 9999, 9999, 2821]
17:00:47 - mote: (00-17-0d-00-00-32-dc-61), sampled: [51537, 55537, 9999, 9999, 53830, 9999, 9999, 9999, 9999, 2824]
17:00:55 - mote: (00-17-0d-00-00-32-dc-61), sampled: [51537, 55537, 9999, 9999, 38830, 9999, 9999, 9999, 9999, 2768]
17:01:03 - mote: (00-17-0d-00-00-32-dc-61), sampled: [51537, 55537, 9999, 9999, 14455, 9999, 9999, 9999, 9999, 2852]
17:01:10 - mote: (00-17-0d-00-00-32-dc-61), sampled: [51537, 55537, 9999, 9999, 45705, 9999, 9999, 9999, 9999, 2814]
17:01:18 - mote: (00-17-0d-00-00-32-dc-61), sampled: [51537, 55537, 9999, 9999, 50839, 9999, 9999, 9999, 9999, 2854]
17:01:26 - mote: (00-17-0d-00-00-32-dc-61), sampled: [51537, 55537, 9999, 9999, 7356, 9999, 9999, 9999, 9999, 2816]
17:01:34 - mote: (00-17-0d-00-00-32-dc-61), sampled: [51537, 55537, 9999, 9999, 37580, 9999, 9999, 9999, 9999, 2854]
17:01:42 - mote: (00-17-0d-00-00-32-dc-61), sampled: [51537, 55537, 9999, 9999, 23517, 9999, 9999, 9999, 9999, 2815]
17:01:50 - mote: (00-17-0d-00-00-32-dc-61), sampled: [51537, 55537, 9999, 9999, 49767, 9999, 9999, 9999, 9999, 2831]
17:01:58 - mote: (00-17-0d-00-00-32-dc-61), sampled: [51537, 55537, 9999, 9999, 51955, 9999, 9999, 9999, 9999, 2832]
17:02:06 - mote: (00-17-0d-00-00-32-dc-61), sampled: [51537, 55537, 9999, 9999, 51955, 9999, 9999, 9999, 9999, 2850]
17:02:14 - mote: (00-17-0d-00-00-32-dc-61), sampled: [51537, 55537, 9999, 9999, 57892, 9999, 9999, 9999, 9999, 2784]
17:02:22 - mote: (00-17-0d-00-00-32-dc-61), sampled: [51537, 55537, 9999, 9999, 29767, 9999, 9999, 9999, 9999, 2817]
17:02:30 - mote: (00-17-0d-00-00-32-dc-61), sampled: [51537, 55537, 9999, 9999, 65080, 9999, 9999, 9999, 9999, 2841]
17:02:43 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 42893, 0, 0, 0, 9999, 2853]
17:02:51 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 44768, 0, 0, 0, 9999, 2815]
17:02:59 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 53831, 0, 0, 0, 9999, 2847]
17:03:07 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 17581, 0, 0, 0, 9999, 2783]
17:03:15 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 30706, 0, 0, 0, 9999, 2776]
17:03:23 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 49768, 0, 0, 0, 9999, 2849]
17:03:36 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 42893, 0, 0, 0, 0, 2829]
17:03:44 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 60081, 0, 0, 0, 0, 2854]
17:03:52 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 30706, 0, 0, 0, 0, 2855]
17:04:00 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 21643, 0, 0, 0, 0, 2856]
17:04:08 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 28831, 0, 0, 0, 0, 2784]
17:04:15 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 21643, 0, 0, 0, 0, 2812]
17:04:23 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 27581, 0, 0, 0, 0, 2793]
17:04:31 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 41956, 0, 0, 0, 0, 2833]
17:04:39 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 29768, 0, 0, 0, 0, 2832]
17:04:47 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 33831, 0, 0, 0, 0, 2782]
